time,session,status,asr_ms,mt_ms,lag_s,last_caption_age_s
1790303823,cap-3,waiting,,,0.0,
1790303823,cap-4,waiting,,,0.0,
1790303828,cap-1,live,1427.5,4404.1,1.28,2.1
1790303828,cap-2,live,1159.4,1741.0,1.54,2.9
1790303828,cap-3,waiting,,,0.0,
1790303828,cap-4,waiting,,,0.0,
1790303833,cap-1,live,1864.6,3061.5,2.78,1.7
1790303833,cap-2,live,936.9,1741.0,2.62,2.8
1790303833,cap-3,waiting,,,0.0,
1790303833,cap-4,waiting,,,0.0,
1790303838,cap-1,live,876.3,1405.0,1.28,3.0
1790303838,cap-2,live,1216.6,2480.1,1.22,3.7
1790303838,cap-3,waiting,,,0.0,
1790303838,cap-4,waiting,,,0.0,
1790303843,cap-1,live,2100.8,4414.1,2.62,2.7
1790303843,cap-2,live,1813.0,2392.3,2.18,3.7
1790303843,cap-3,waiting,,,0.0,
1790303843,cap-4,waiting,,,0.0,
1790303848,cap-1,live,2259.5,1771.3,1.66,2.2
1790303848,cap-2,live,1899.8,2457.6,2.56,1.4
1790303848,cap-3,waiting,,,0.0,
1790303848,cap-4,waiting,,,0.0,
1790303853,cap-1,live,1578.0,5093.1,1.7,3.1
1790303853,cap-2,live,709.2,2457.6,1.79,4.2
1790303853,cap-3,waiting,,,0.0,
1790303853,cap-4,waiting,,,0.0,
1790303858,cap-1,live,1141.4,2717.5,1.7,3.3
1790303858,cap-2,live,638.1,1220.4,1.12,1.8
1790303858,cap-3,waiting,,,0.0,
1790303858,cap-4,waiting,,,0.0,
1790303863,cap-1,live,1728.0,2717.5,2.11,2.5
1790303863,cap-2,live,1092.6,770.6,2.62,1.8
1790303863,cap-3,waiting,,,0.0,
1790303863,cap-4,waiting,,,0.0,
1790303868,cap-1,live,621.7,3970.8,2.11,3.7
1790303868,cap-2,live,1267.2,770.6,2.62,4.4
1790303868,cap-3,waiting,,,0.0,
1790303868,cap-4,waiting,,,0.0,
1790303873,cap-1,live,994.7,3970.8,0.99,3.4
1790303873,cap-2,live,1870.7,2743.4,2.5,2.3
1790303873,cap-3,waiting,,,0.0,
1790303873,cap-4,waiting,,,0.0,
1790303878,cap-1,live,612.0,3972.3,0.99,2.2
1790303878,cap-2,live,676.1,1616.1,2.5,1.3
1790303878,cap-3,waiting,,,0.0,
1790303878,cap-4,waiting,,,0.0,
1790303883,cap-1,live,876.6,3972.3,0.99,3.9
1790303883,cap-2,live,1333.2,1616.1,0.96,3.2
1790303883,cap-3,waiting,,,0.0,
1790303883,cap-4,waiting,,,0.0,
1790303888,cap-1,live,700.5,3484.4,1.09,3.3
1790303888,cap-2,live,1636.9,1967.3,1.28,2.1
1790303888,cap-3,waiting,,,0.0,
1790303888,cap-4,waiting,,,0.0,
1790303893,cap-1,live,846.7,650.4,1.76,2.5
1790303893,cap-2,live,667.8,1967.3,1.73,1.2
1790303893,cap-3,waiting,,,0.0,
1790303893,cap-4,waiting,,,0.0,
1790303898,cap-1,live,609.4,650.4,1.15,3.1
1790303898,cap-2,live,1300.7,213.0,1.73,4.8
1790303898,cap-3,waiting,,,0.0,
1790303898,cap-4,waiting,,,0.0,
1790303953,cap-1,live,2123.3,2299.1,3.74,2.4
1790303953,cap-2,live,2387.3,2351.3,3.3,5.2
1790303953,cap-3,live,2477.5,3460.2,4.64,3.4
1790303953,cap-4,waiting,,,0.0,
1790303958,cap-1,live,2348.8,2675.5,3.87,2.3
1790303958,cap-2,live,2331.8,2351.3,3.78,3.3
1790303958,cap-3,live,2538.8,1726.8,4.51,4.0
1790303958,cap-4,waiting,,,0.0,
1790303963,cap-1,live,722.8,4066.9,0.74,2.1
1790303963,cap-2,live,2082.9,2351.3,4.67,3.1
1790303963,cap-3,live,1716.9,3142.4,1.7,0.9
1790303963,cap-4,waiting,,,0.0,
1790303969,cap-1,live,943.7,6404.7,0.74,1.4
1790303969,cap-2,live,1383.6,2351.3,1.86,0.6
1790303969,cap-3,live,2406.5,3142.4,1.7,3.4
1790303969,cap-4,waiting,,,0.0,
1790303974,cap-1,live,986.4,6404.7,0.74,2.1
1790303974,cap-2,live,707.4,2351.3,1.86,3.5
1790303974,cap-3,live,1053.3,5653.6,1.7,2.8
1790303974,cap-4,waiting,,,0.0,
1790303979,cap-1,live,1690.2,6404.7,2.08,2.1
1790303979,cap-2,live,2379.8,2351.3,2.37,2.8
1790303979,cap-3,live,2291.3,5653.6,2.69,1.4
1790303979,cap-4,waiting,,,0.0,
1790303984,cap-1,live,2458.1,6772.9,4.54,2.5
1790303984,cap-2,live,2556.1,2351.3,4.48,0.7
1790303984,cap-3,live,2093.6,6460.1,2.62,4.3
1790303984,cap-4,waiting,,,0.0,
